HASH3,serror_rate,dst_host_srv_count,duration,num_compromised,icmp,srv_count,udp,dst_host_diff_srv_rate,dst_host_same_srv_rate,dst_host_serror_rate,wrong_fragment,dst_host_rerror_rate,dst_host_srv_diff_host_rate,dst_host_same_src_port_rate,count,dst_bytes,HASH5,num_file_creations,src_bytes,CATEGORY
0.0,0.0,0.003937007874015748,0,0.0,0,0.0,0,1.0,0.03,0.0,0.0,0.92,1.0,0.03,0.0,0.0,0.0,0.0,0.0,PROBE
-1.0,0.0,0.8031496062992126,0,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.865071920945408e-07,PROBE
0.0,0.0,0.003937007874015748,0,0.0,0,0.0,0,1.0,0.11,0.0,0.0,0.78,1.0,0.11,0.0,0.0,0.0,0.0,0.0,PROBE
-1.0,0.0,0.03543307086614173,0,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,1.0,0.0,2.865071920945408e-07,PROBE
-1.0,0.0,0.0984251968503937,0,0.0,1,0.03333333333333333,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.31496062992125984,0,0.0,1,0.09411764705882353,0,0.0,1.0,0.0,0.0,0.0,0.51,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.09448818897637797,0,0.0,1,0.07450980392156863,0,0.0,1.0,0.0,0.0,0.0,0.52,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,1.0,0,0.0,1,0.06470588235294117,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.4330708661417323,0,0.0,1,0.05098039215686274,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.14566929133858267,0,0.0,1,0.017647058823529408,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.2519685039370079,0,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.26,1.0,0.0,0.0,1.0,0.0,2.865071920945408e-07,PROBE
-1.0,0.0,0.023622047244094488,2,0.0,0,0.0,0,1.0,0.02,0.0,0.0,0.92,0.29,0.02,0.0,0.0,0.0,0.0,0.0,PROBE
0.0,0.0,0.2440944881889764,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,-1.0,0.0,0.0,PROBE
-1.0,0.0,0.05905511811023623,0,0.0,1,0.09803921568627452,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.38976377952755903,0,0.0,1,0.07254901960784314,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.0984251968503937,0,0.0,1,0.027450980392156862,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.047244094488188976,0,0.0,1,0.015686274509803918,0,0.0,1.0,0.0,0.0,0.0,0.54,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.8503937007874016,0,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.865071920945408e-07,PROBE
-1.0,0.0,0.031496062992125984,0,0.0,0,0.0,0,1.0,0.02,0.0,0.0,0.92,0.22,0.02,0.0,0.0,0.0,0.0,0.0,PROBE
-1.0,0.0,0.05118110236220472,0,0.0,1,0.035294117647058816,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.3346456692913386,0,0.0,1,0.06666666666666668,0,0.0,1.0,0.0,0.0,0.0,0.51,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.3543307086614173,0,0.0,1,0.029411764705882363,0,0.0,1.0,0.0,0.0,0.0,0.51,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.17716535433070865,0,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.865071920945408e-07,PROBE
-1.0,0.0,0.3070866141732284,0,0.0,1,0.041176470588235294,0,0.0,1.0,0.0,0.0,0.0,0.51,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.4488188976377953,0,0.0,1,0.005882352941176471,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.20078740157480315,0,0.0,1,0.0196078431372549,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.14173228346456693,0,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.865071920945408e-07,PROBE
-1.0,0.0,0.5944881889763779,0,0.0,1,0.08823529411764706,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.3425196850393701,0,0.0,1,0.043137254901960784,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.3307086614173229,0,0.0,1,0.0019607843137254893,0,0.0,1.0,0.0,0.0,0.0,0.51,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
0.0,0.0,0.003937007874015748,0,0.0,0,0.0,0,1.0,0.02,0.0,0.0,0.88,1.0,0.02,0.0,0.0,0.0,0.0,0.0,PROBE
-1.0,0.0,0.1062992125984252,0,0.0,1,0.027450980392156862,0,0.0,1.0,0.0,0.0,0.0,0.54,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.17716535433070865,0,0.0,1,0.06470588235294117,0,0.0,1.0,0.0,0.0,0.0,0.52,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
0.0,0.0,0.003937007874015748,0,0.0,0,0.0,0,1.0,0.02,0.0,0.0,0.98,1.0,0.02,0.0,0.0,0.0,0.0,0.0,PROBE
-1.0,0.0,0.03937007874015748,0,0.0,1,0.09411764705882353,0,0.0,1.0,0.0,0.0,0.0,0.55,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.8346456692913385,0,0.0,1,0.043137254901960784,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
0.0,0.0,0.003937007874015748,0,0.0,0,0.0,0,1.0,0.02,0.0,0.0,0.95,1.0,0.02,0.0,0.0,0.0,0.0,0.0,PROBE
-1.0,0.0,0.8385826771653543,0,0.0,1,0.023529411764705882,0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.273365298197959e-07,PROBE
-1.0,0.0,0.05118110236220472,0,0.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.865071920945408e-07,PROBE
0.0,0.0,0.0,0,0.0,0,0.0,0,1.0,0.04,0.0,0.0,0.87,0.0,0.04,0.0,0.0,0.0,0.0,0.0,PROBE
