HASH4,serror_rate,num_compromised,udp,dst_host_count,dst_host_srv_count,HASH3,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_same_srv_rate,src_bytes,dst_host_serror_rate,wrong_fragment,srv_diff_host_rate,dst_host_same_src_port_rate,count,dst_bytes,HASH5,num_file_creations,dst_host_rerror_rate
2.0,0.0,0.0,0,0.0511811023622047,0.1535433070866141,0.0,0.29,0.05,0.29,0.0516504979395604,0.0,,0.0,0.29,0.0,0.0,-1.0,,0.0
-1.0,0.0,0.0,0,1.0,0.0078740157480314,0.0,0.06,0.0,0.01,0.0,0.0,,0.0,0.0,0.5866141732283464,0.0,0.0,,1.0
1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0033589457417582,0.0,,0.0,1.0,0.0,0.0321517906168019,-1.0,,0.0
-1.0,1.0,0.0,0,1.0,0.0039370078740157,0.0,0.07,0.0,0.01,0.0,1.0,,0.0,0.0,0.202755905511811,0.0,0.0,,0.0
0.0,1.0,0.0,0,1.0,0.0078740157480314,-1.0,0.09,0.0,0.01,0.0,1.0,,0.0,0.0,0.4330708661417323,0.0,0.0,,0.0
2.0,0.0,0.0,0,0.7874015748031497,0.4881889763779528,1.0,0.02,0.0,0.62,0.0004936469780219,0.0,,0.01,0.0,0.1515748031496063,0.0042706363248123,0.0,,0.0
-1.0,0.0,0.0,0,0.7086614173228346,0.0,0.0,0.1,0.0,0.01,0.0,0.0,,0.0,0.07,0.0,0.0,0.0,,0.08
0.0,0.0,0.0,0,1.0,0.889763779527559,0.0,0.02,0.0,0.89,1.0,0.0,,0.0,0.0,0.0098425196850393,0.0,-2.0,,0.02
-1.0,1.0,0.0,0,1.0,0.0314960629921259,0.0,0.07,0.0,0.04,0.0,1.0,,0.0,0.0,0.484251968503937,0.0,0.0,,0.0
1.0,1.0,0.0,0,1.0,0.0157480314960629,1.0,0.05,0.0,0.02,0.0,1.0,,0.0,0.0,0.2440944881889764,0.0,-1.0,,0.0
1.0,1.0,0.0,0,1.0,0.0669291338582677,1.0,0.05,0.0,0.07,0.0,1.0,,0.0,0.0,0.5452755905511811,0.0,-1.0,,0.0
0.0,0.0,0.0,0,0.1259842519685039,1.0,0.0,0.0,0.02,1.0,0.0029833447802197,0.0,,0.33,0.03,0.0059055118110236,0.1396498078213653,-2.0,,0.0
0.0,0.0,0.0,0,1.0,0.0393700787401574,0.0,0.07,0.0,0.04,0.0,0.0,,0.0,0.0,0.2283464566929134,0.0,-3.0,,1.0
-1.0,1.0,0.0,0,1.0,0.0157480314960629,0.0,0.07,0.0,0.02,0.0,1.0,,0.0,0.0,0.1929133858267716,0.0,0.0,,0.0
1.0,0.07,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,,0.0,0.0,0.9330708661417324,0.0,0.0,,0.96
0.0,0.0,0.0,0,0.3188976377952756,1.0,0.0,0.0,0.07,1.0,0.0024038461538461,0.0,,0.33,0.01,0.0078740157480314,0.010158013544018,-2.0,,0.0
1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0055374313186813,0.0,,0.0,1.0,0.5905511811023622,0.0001220181807089,0.0,,0.0
-1.0,0.0,0.0,0,1.0,0.0039370078740157,0.0,0.06,0.0,0.01,0.0,0.0,,0.0,0.0,0.2165354330708661,0.0,0.0,,1.0
1.0,0.0,0.0,0,1.0,1.0,-1.0,0.0,0.0,1.0,0.0110748626373626,0.0,,0.0,1.0,0.6456692913385826,0.0,1.0,,0.0
2.0,0.0,0.0,0,0.0039370078740157,0.2007874015748031,-1.0,0.0,0.5,1.0,8.585164835164836e-05,0.0,,1.0,1.0,0.0,0.0,1.0,,0.0
0.0,0.0,0.0,0,0.1968503937007874,1.0,0.0,0.0,0.04,1.0,0.0025326236263736,0.0,,0.12,0.02,0.0295275590551181,0.0142761271429442,-2.0,,0.0
0.0,0.0,0.0,0,0.0157480314960629,0.0157480314960629,0.0,0.0,0.0,1.0,0.0139616243131868,0.0,,0.0,0.2,0.0,0.0100970044536635,-2.0,,0.0
2.0,0.0,0.0,0,0.0078740157480314,0.0393700787401574,-1.0,0.0,0.27,1.0,8.585164835164836e-05,0.0,,1.0,1.0,0.0,0.0,1.0,,0.0
-1.0,1.0,0.0,0,1.0,0.0354330708661417,0.0,0.08,0.0,0.04,0.0,1.0,,0.0,0.0,0.2421259842519685,0.0,0.0,,0.0
0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0034984546703296,0.0,,0.06,0.0,0.0551181102362204,0.0497224086388871,-2.0,,0.0
0.0,0.0,0.0,0,0.6338582677165354,0.6338582677165354,0.0,0.0,0.0,1.0,0.0033589457417582,0.01,,0.0,0.01,0.0098425196850393,1.0,-2.0,,0.0
0.0,1.0,0.0,0,1.0,0.0157480314960629,0.0,0.05,0.0,0.02,0.0,1.0,,0.0,0.0,0.5511811023622047,0.0,-2.0,,0.0
