duration,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class,CATEGORY,HASH1,HASH2,HASH3,HASH4,HASH5,icmp,tcp,udp
0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.14960629921259844,0.003937007874015748,0.03,1.0,0.03,1.0,0.0,0.0,0.92,1.0,ipsweep,PROBE,2.0,-2.0,0.0,-1.0,0.0,0,1,0
0,1,2.8650719209454076e-07,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8031496062992126,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,ipsweep,PROBE,0.0,-1.0,-1.0,2.0,1.0,1,0,0
0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.031496062992125984,0.003937007874015748,0.11,1.0,0.11,1.0,0.0,0.0,0.78,1.0,ipsweep,PROBE,2.0,-2.0,0.0,-1.0,0.0,0,1,0
0,1,2.8650719209454076e-07,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.007874015748031496,0.03543307086614173,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,ipsweep,PROBE,0.0,-1.0,-1.0,2.0,1.0,1,0,0
0,1,1.273365298197959e-07,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.003937007874015748,0.0984251968503937,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,ipsweep,PROBE,0.0,-1.0,-1.0,2.0,1.0,1,0,0
0,1,1.273365298197959e-07,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.09411764705882353,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.31496062992125984,1.0,0.0,1.0,0.51,0.0,0.0,0.0,0.0,ipsweep,PROBE,0.0,-1.0,-1.0,2.0,1.0,1,0,0
0,1,1.273365298197959e-07,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.07450980392156863,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.09448818897637795,1.0,0.0,1.0,0.52,0.0,0.0,0.0,0.0,ipsweep,PROBE,0.0,-1.0,-1.0,2.0,1.0,1,0,0
0,1,1.273365298197959e-07,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.06470588235294118,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,ipsweep,PROBE,0.0,-1.0,-1.0,2.0,1.0,1,0,0
0,1,1.273365298197959e-07,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.050980392156862744,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4330708661417323,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,ipsweep,PROBE,0.0,-1.0,-1.0,2.0,1.0,1,0,0
0,1,1.273365298197959e-07,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,0,0,0.0,0.01764705882352941,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.003937007874015748,0.14566929133858267,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,ipsweep,PROBE,0.0,-1.0,-1.0,2.0,1.0,1,0,0
